_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf1afdb6c3febf80523"),""2018-08-30T00:00:00.000Z"",38266,38170,38740,37913.4,3950,1.29,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80524"),""2018-08-29T00:00:00.000Z"",37777.76,37200.1,37928,37200.1,4760,2.66,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80525"),""2018-08-28T00:00:00.000Z"",36799.4,36330.97,36970.31,36330.97,1470,1.81,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80526"),""2018-08-27T00:00:00.000Z"",36145,35862.44,36149,35760,1210,0.05,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80527"),""2018-08-24T00:00:00.000Z"",36128,36075,36128,35880.11,480,-0.39,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80528"),""2018-08-23T00:00:00.000Z"",36271.01,35904.34,36300,35904.34,2470,1.52,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80529"),""2018-08-22T00:00:00.000Z"",35727.19,35500,35821.65,35500,1800,0.4,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8052a"),""2018-08-21T00:00:00.000Z"",35586.16,35711,35796,35558,2029.9999999999998,-0.35,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8052b"),""2018-08-20T00:00:00.000Z"",35711,35582.2,35877.66,35582.2,870,0.48,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8052c"),""2018-08-17T00:00:00.000Z"",35540,35869.53,35869.53,35500,560,-0.96,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8052d"),""2018-08-16T00:00:00.000Z"",35882.84,36150,36242.39,35847.63,6040,-0.97,BMV,Mexico,MXN,Investing.com
