Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
21-Feb-19,"1,619.44","1,616.79","1,623.47","1,601.20",3.48M,-0.16%,NASDAQ,USA,USD
20-Feb-19,"1,622.10","1,630.00","1,634.93","1,610.12",3.34M,-0.34%,NASDAQ,USA,USD
19-Feb-19,"1,627.58","1,601.00","1,634.00","1,600.56",3.68M,1.22%,NASDAQ,USA,USD
15-Feb-19,"1,607.95","1,627.86","1,628.91","1,604.50",4.34M,-0.91%,NASDAQ,USA,USD
14-Feb-19,"1,622.65","1,624.50","1,637.90","1,606.06",4.12M,-1.06%,NASDAQ,USA,USD
13-Feb-19,"1,640.00","1,647.00","1,656.38","1,637.11",3.56M,0.12%,NASDAQ,USA,USD
12-Feb-19,"1,638.01","1,604.00","1,639.39","1,598.88",4.86M,2.95%,NASDAQ,USA,USD
11-Feb-19,"1,591.00","1,600.98","1,609.29","1,586.00",3.32M,0.18%,NASDAQ,USA,USD
8-Feb-19,"1,588.22","1,586.00","1,588.59","1,566.76",5.66M,-1.62%,NASDAQ,USA,USD
7-Feb-19,"1,614.37","1,625.00","1,625.54","1,592.91",4.63M,-1.58%,NASDAQ,USA,USD
6-Feb-19,"1,640.26","1,670.75","1,672.26","1,633.34",3.94M,-1.12%,NASDAQ,USA,USD
5-Feb-19,"1,658.81","1,643.34","1,665.26","1,642.50",4.45M,1.56%,NASDAQ,USA,USD
4-Feb-19,"1,633.31","1,623.00","1,649.63","1,613.50",4.93M,0.44%,NASDAQ,USA,USD
1-Feb-19,"1,626.23","1,638.88","1,673.06","1,622.01",11.51M,-5.38%,NASDAQ,USA,USD
31-Jan-19,"1,718.73","1,692.85","1,736.41","1,679.08",10.91M,2.89%,NASDAQ,USA,USD
30-Jan-19,"1,670.43","1,623.00","1,676.95","1,619.68",5.78M,4.80%,NASDAQ,USA,USD
29-Jan-19,"1,593.88","1,631.27","1,632.38","1,590.72",4.63M,-2.69%,NASDAQ,USA,USD
28-Jan-19,"1,637.89","1,643.59","1,645.00","1,614.09",4.84M,-1.96%,NASDAQ,USA,USD
25-Jan-19,"1,670.57","1,670.50","1,683.48","1,661.61",4.96M,0.95%,NASDAQ,USA,USD
24-Jan-19,"1,654.93","1,641.07","1,657.26","1,631.78",4.09M,0.91%,NASDAQ,USA,USD
23-Jan-19,"1,640.02","1,656.00","1,657.43","1,612.00",5.23M,0.48%,NASDAQ,USA,USD
22-Jan-19,"1,632.17","1,681.00","1,681.87","1,610.20",6.42M,-3.77%,NASDAQ,USA,USD
18-Jan-19,"1,696.20","1,712.00","1,716.20","1,691.54",6.02M,0.18%,NASDAQ,USA,USD
17-Jan-19,"1,693.22","1,680.00","1,700.17","1,677.50",4.21M,0.56%,NASDAQ,USA,USD
16-Jan-19,"1,683.78","1,684.22","1,705.00","1,675.88",6.37M,0.55%,NASDAQ,USA,USD
15-Jan-19,"1,674.56","1,632.00","1,675.16","1,626.01",6.00M,3.55%,NASDAQ,USA,USD
14-Jan-19,"1,617.21","1,615.00","1,648.20","1,595.15",6.01M,-1.42%,NASDAQ,USA,USD
11-Jan-19,"1,640.56","1,640.55","1,660.29","1,636.22",4.69M,-0.95%,NASDAQ,USA,USD
10-Jan-19,"1,656.22","1,641.01","1,663.25","1,621.62",6.51M,-0.19%,NASDAQ,USA,USD
9-Jan-19,"1,659.42","1,652.98","1,667.80","1,641.40",6.35M,0.17%,NASDAQ,USA,USD
8-Jan-19,"1,656.58","1,664.69","1,676.61","1,616.61",8.88M,1.66%,NASDAQ,USA,USD
7-Jan-19,"1,629.51","1,602.31","1,634.56","1,589.18",7.99M,3.44%,NASDAQ,USA,USD
4-Jan-19,"1,575.39","1,530.00","1,594.00","1,518.31",9.18M,5.01%,NASDAQ,USA,USD
3-Jan-19,"1,500.28","1,520.01","1,538.00","1,497.11",6.98M,-2.52%,NASDAQ,USA,USD
2-Jan-19,"1,539.13","1,465.20","1,553.36","1,460.93",7.98M,2.47%,NASDAQ,USA,USD
31-Dec-18,"1,501.97","1,510.80","1,520.76","1,487.00",6.95M,1.62%,NASDAQ,USA,USD
28-Dec-18,"1,478.02","1,473.35","1,513.47","1,449.00",8.83M,1.12%,NASDAQ,USA,USD
27-Dec-18,"1,461.64","1,454.20","1,469.00","1,390.31",9.72M,-0.63%,NASDAQ,USA,USD
26-Dec-18,"1,470.90","1,368.89","1,473.16","1,363.01",10.41M,9.45%,NASDAQ,USA,USD
24-Dec-18,"1,343.96","1,346.00","1,396.03","1,307.00",7.22M,-2.43%,NASDAQ,USA,USD
21-Dec-18,"1,377.45","1,464.99","1,480.00","1,363.96",13.64M,-5.71%,NASDAQ,USA,USD
20-Dec-18,"1,460.83","1,484.00","1,509.50","1,432.69",9.99M,-2.29%,NASDAQ,USA,USD
19-Dec-18,"1,495.08","1,543.05","1,584.53","1,483.18",8.79M,-3.64%,NASDAQ,USA,USD
18-Dec-18,"1,551.48","1,540.00","1,567.55","1,523.01",6.52M,2.01%,NASDAQ,USA,USD
17-Dec-18,"1,520.91","1,566.00","1,576.13","1,505.01",8.83M,-4.46%,NASDAQ,USA,USD
14-Dec-18,"1,591.91","1,638.00","1,642.57","1,585.00",6.37M,-4.01%,NASDAQ,USA,USD
13-Dec-18,"1,658.38","1,680.00","1,692.12","1,641.50",5.27M,-0.31%,NASDAQ,USA,USD
12-Dec-18,"1,663.54","1,669.00","1,704.99","1,660.27",6.60M,1.24%,NASDAQ,USA,USD
11-Dec-18,"1,643.24","1,678.00","1,679.47","1,619.60",6.24M,0.13%,NASDAQ,USA,USD
10-Dec-18,"1,641.03","1,623.84","1,657.99","1,590.87",7.49M,0.73%,NASDAQ,USA,USD
7-Dec-18,"1,629.13","1,705.07","1,718.93","1,625.46",7.58M,-4.12%,NASDAQ,USA,USD
6-Dec-18,"1,699.19","1,614.87","1,701.05","1,609.85",8.79M,1.85%,NASDAQ,USA,USD
